reading,sentiment
"Aries, The Star shows your natural optimism is trying to break through, but the Five of Cups has you stuck on past disappointments. The Page of Pentacles suggests a practical, grounded approach to learning something new will help you move forward and manifest the hopeful future The Star promises.",positive
"Aquarius, the Knight of Swords suggests you cut through mental clutter to gain clarity, but the Ten of Wands reveals you may feel burdened by responsibilities related to this decision.  The Two of Wands, however, shows you have the power to choose your path and prioritize what truly matters for your overall happiness.",neutral
"Cancer, you're being pulled in too many directions (Seven of Cups) but have the power to take control and move forward with focused determination (The Chariot).  Trust your intellect and clear-headed decision-making (Queen of Swords) to choose the single path that truly resonates with you, instead of fantasizing about all the 'what ifs'.",neutral
"This Tower card, combined with your Leo fire, indicates a much-needed change in your approach, likely involving a sudden shift in perspective. The Ace of Cups and Temperance suggest that embracing this disruption with emotional balance and acceptance will lead to new opportunities and inner harmony.  You'll land on your feet, Leo, just approach it with a steady hand.",positive
"With the Hanged Man suggesting a need for a new perspective, Aries, and your natural impulsiveness, it looks like you might need to slow down and wait for things to develop, like the farmer in the Seven of Pentacles tending his crop. The Ace of Cups indicates a fresh emotional start will come once you release control and find patience.",neutral
"This Eight of Cups, followed by The Chariot, suggests you need to leave a situation that's no longer fulfilling you, Aquarius, even if it feels comfortable. The Tower indicates this change will be sudden and disruptive, but ultimately necessary for your growth, so embrace it.",neutral
"This Five of Cups shows you're dwelling on past disappointments, typical for Aquarius, but Justice indicates a fair outcome is coming if you take a leap of faith.  The Fool encourages you to embrace new beginnings and trust your intuition, even if it seems risky right now.",positive
"Libra, the Queen of Swords suggests you're approaching this with a clear and decisive mind, but The Lovers indicates a difficult choice between two paths that truly resonate with you.  The Five of Pentacles reminds you that even when feeling isolated or lacking resources, your strength and resilience will ultimately guide you through.",positive
"With the Nine of Cups and Nine of Pentacles, you're close to achieving this goal, Aries, and feeling pretty self-sufficient about it, too. The Queen of Wands confirms you have the drive and independence to make it happen on your own terms – go for it!",positive
"Aquarius, the Seven of Cups suggests you're feeling overwhelmed by choices, but the Three of Cups reminds you to lean on your friends for support and celebrate small wins.  With the Three of Wands showing up, your adventurous spirit will guide you to the best path once you have clarity on what truly brings you joy.",positive
"For you, Aries, the Sun, Death, and Nine of Pentacles suggest a time of joyful transformation.  You're closing a chapter, ready to embrace independence and enjoy the fruits of your labor, even if it feels a bit scary at first. This new beginning will bring a sense of self-sufficiency and well-deserved peace.",positive
"This Taurus season, you're hitting a painful ending signified by the Ten of Swords, but the Four of Wands shows a new foundation is already there for you to build on. The Six of Swords suggests a necessary transition and moving away from that difficult situation – you'll be sailing smoothly to calmer waters soon.",positive
"Libra, the Wheel of Fortune shows that big, unexpected changes are coming, likely for the better. The Aces of Swords and Pentacles suggest these changes offer a fresh start, both mentally with new ideas and materially with new resources.  This is a lucky time to embrace the shift and take action on any opportunities that arise.",positive
"The Knight of Wands and Death appearing together suggest you’re eager to move on from this situation, Sagittarius, and embrace a totally new beginning.  Justice confirms this change is fair and necessary, even if it feels difficult right now, and ultimately brings balance.",positive
"With the Queen of Pentacles grounding your Sagittarian free spirit, and the Wheel of Fortune spinning in your favor, you have the resources and luck to navigate this. However, The Hierophant suggests you might benefit from seeking advice from a trusted mentor or exploring established traditions for guidance.",positive
"With Temperance suggesting balance and the Page of Swords hinting at a fresh perspective, Virgo, you might find yourself needing to pause and reflect before jumping into action on this. The Hanged Man reinforces this, indicating a need for a different approach, perhaps even accepting a temporary surrender to gain a new understanding of the situation.",neutral
"Taurus, the Wheel of Fortune shows a lucky break is coming, bringing unexpected change, but the Five of Swords suggests you might face some conflict or need to stand up for yourself in order to benefit. The Hierophant encourages you to rely on your values and seek advice from trusted mentors as you navigate this shift.",neutral
"Pisces, you're shedding old habits and thought patterns that no longer serve you, even if it feels restrictive right now.  The Sun indicates that although a big change (Death) is on the horizon, a joyful and liberating outcome is assured, so don't be afraid to embrace the new. This fresh start is exactly what you need to shine.",positive
"The Nine of Swords suggests you Cancers are overthinking this and creating unnecessary stress, but the Nine of Pentacles shows you have the resources and resilience to handle it. The Four of Pentacles reminds you to be practical and strategic with your resources, don't be afraid to hold onto some for a bit longer until things are clearer.",neutral
"This Capricorn season, with the Six of Swords and Six of Pentacles, you're moving away from a difficult situation, but finding balance by giving and receiving support. The Nine of Swords suggests lingering anxieties about this change are normal, but don't let them hold you back from accepting help and moving forward.",neutral
"Capricorn, with The Hierophant, King of Swords, and Nine of Wands, it looks like you need to trust your learned knowledge and experience to make this decision, even if it’s challenging or unpopular. You've come a long way and have the strength to see it through, so don't give up now even if facing some resistance.  You're almost there.",positive
"Capricorn, the Three, Two, and Queen of Pentacles suggest you need to find a better balance between collaborating with others and managing your own resources.  You might be spreading yourself too thin, so prioritize what truly needs your personal touch.  This grounded earth energy encourages you to assess your practical skills and apply them strategically to achieve a stable foundation.",neutral
"This Ace of Swords suggests a fresh, Aquarian perspective is key – embrace your innovative nature to break through this mental block.  The Two of Wands and Two of Swords show you're at a crossroads, and a clear decision needs to be made; trust your gut and choose a single path forward even if it feels risky.",positive
"With the Ten and Queen of Pentacles flanking The Sun, it looks like you'll soon enjoy some well-earned stability and abundance, something Aquarians truly value.  This could involve family, your community, or a long-term project finally paying off, bringing you a sense of deep satisfaction and joy. These cards signal a bright future filled with warmth and security.",positive
