zodiac,question,card1,card2,card3,reading
Taurus,How can I support a struggling family member?,Four of Wands,Knight of Pentacles,Ace of Pentacles,"Reading:  The Four of Wands suggests creating a stable and supportive environment for them.  The Knight of Pentacles and Ace of Pentacles point towards offering practical help, like financial assistance or help with chores. Offer steady, reliable support."
Aries,What unresolved emotions are affecting family relationships?,Seven of Wands,The Empress,Four of Swords,"Reading:  Aries, the Seven of Wands suggests you're defensively guarding against old hurts. The Empress and Four of Swords indicate a need to nurture yourself and rest before addressing family issues.  Consider taking time for self-care before tackling these difficult conversations."
Virgo,Will the tension in my family ease soon?,Ten of Pentacles,Four of Swords,Death,"Reading:  The Ten of Pentacles suggests long-term stability is coming, but the Four of Swords shows you need a break from the drama first.  Death indicates a necessary ending before things improve.  Focus on self-care while you wait for this transition."
Taurus,What blessings are hidden in my family struggles?,Wheel of Fortune,Temperance,The Moon,"Taurus, the Wheel of Fortune shows that family cycles are shifting, bringing unexpected opportunities with them.  Temperance suggests balance and patience will reveal these. The Moon indicates hidden strengths and intuition will guide you. Trust your gut and the changes coming."
Scorpio,What is the spiritual purpose of my family connections?,Three of Wands,Eight of Pentacles,Two of Cups,"Reading:  Scorpio, your family helps you broaden your horizons (Three of Wands) while you learn valuable skills from them (Eight of Pentacles).  This creates strong emotional bonds (Two of Cups).  Embrace the lessons and the love."
Gemini,How can I set healthy boundaries with family members?,The Hanged Man,Two of Pentacles,Four of Cups,"Gemini, The Hanged Man suggests pausing and seeing things from a new angle.  The Two of Pentacles encourages balance, while the Four of Cups shows you might be overlooking available solutions.  Consider which family interactions drain you and set clear limits."
Virgo,What karmic patterns exist in my family line?,Queen of Swords,The Emperor,Three of Swords,"Reading:  Virgo, your family history involves clear communication (Queen of Swords) combined with rigid structures (The Emperor), leading to painful emotional separations (Three of Swords).  This might show up as arguments, estrangements, or suppressed feelings.  Find healthier ways to express emotions and connect."
Pisces,How can I bring more harmony to family gatherings?,The Fool,The Sun,Strength,"Reading:  Pisces, The Fool suggests a fresh, playful approach. The Sun brings warmth and joy; focus on shared activities. Strength reminds you to be patient and understanding with everyone.  Embrace a lighthearted attitude and focus on togetherness."
Libra,How can I protect my energy around family members?,Two of Swords,The Hanged Man,The Lovers,"Reading:  Libra, the Two of Swords, Hanged Man, and Lovers suggest you're avoiding a difficult decision regarding your family.  Accepting a new perspective will help you see things more clearly.  Choose what truly aligns with your needs.  Set healthy boundaries."
Taurus,Will the tension in my family ease soon?,The High Priestess,Page of Swords,Knight of Wands,"Reading:  The High Priestess suggests unresolved issues need addressing.  The Page of Swords indicates communication is key, while the Knight of Wands points to impulsive actions.  Focus on clear, patient conversations to ease the tension."
