zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Cancer,How can I cultivate more self-care in my life?,The Emperor,Nine of Pentacles,Strength,"Reading:  Cancer, The Emperor suggests establishing a structured routine.  The Nine of Pentacles points to enjoying your own company and the fruits of your labor. Strength encourages you to gently but firmly hold yourself accountable.  Set realistic goals and reward yourself for achieving them.",health,NEGATIVE,POSITIVE
Pisces,How can I release fear about my health?,The Chariot,Death,Four of Cups,"Reading:  Pisces, The Chariot suggests taking control of your health journey.  Death signifies letting go of old anxieties.  The Four of Cups indicates you may be overlooking available support.  Focus on action, release worries, and accept help.",health,NEGATIVE,NEGATIVE
Aquarius,Is it time to seek medical help or a second opinion?,The Hanged Man,Seven of Swords,Wheel of Fortune,"Aquarius, the cards suggest a pause is needed to gain a fresh perspective (Hanged Man).  You may feel like something isn't right, but information could be obscured (Seven of Swords).  Ultimately, a change is coming (Wheel of Fortune). Seek that second opinion for clarity and to navigate the shift.",health,NEGATIVE,NEGATIVE
Virgo,Will I recover fully from this illness?,Ten of Cups,The Chariot,The Sun,"Virgo, your cards point to a positive outcome regarding your health. The Chariot and The Sun show strength and vitality returning. The Ten of Cups suggests a full recovery leading to emotional fulfillment. Focus on rest and positive thinking to aid your healing.",health,NEGATIVE,POSITIVE
Leo,How can I better support my physical well-being?,Two of Swords,Nine of Wands,The Tower,"Reading:  Leo, the Two of Swords suggests you're avoiding a tough decision about your health. The Nine of Wands shows you're resilient but tired, so prioritize rest. The Tower indicates a necessary change in your routine is coming.  Prioritize one small change at a time.",health,NEGATIVE,NEGATIVE
Virgo,What does my body want to tell me?,Queen of Swords,Death,Ace of Wands,"Virgo, your body is asking you to set clear boundaries (Queen of Swords) and release unhealthy habits (Death) to ignite new energy (Ace of Wands).  You're ready for a fresh start. Listen to your body's wisdom.",health,NEGATIVE,POSITIVE
Gemini,How can I find motivation to take better care of myself?,The Emperor,The Empress,The Sun,"Gemini, The Emperor encourages structure, while The Empress suggests nurturing yourself.  The Sun highlights the joy that self-care can bring.  Prioritize creating a simple routine that feels good.",health,NEGATIVE,POSITIVE
Gemini,What is the spiritual cause of my physical issues?,Eight of Swords,Ten of Wands,Knight of Wands,"Reading:  Gemini, your self-limiting beliefs (Eight of Swords) are creating burdens (Ten of Wands) that exhaust your energy (Knight of Wands). This manifests as physical problems.  Try to identify and challenge those beliefs.",health,NEGATIVE,NEGATIVE
Cancer,Am I neglecting any part of my well-being?,The High Priestess,The Hanged Man,Ten of Wands,"Cancer, The High Priestess suggests you're ignoring your intuition. The Hanged Man and Ten of Wands show you're overwhelmed and neglecting self-care.  Prioritize listening to your inner voice and lightening your load.",health,NEGATIVE,NEGATIVE
Pisces,"How can I bring balance to my mind, body, and spirit?",Five of Swords,The High Priestess,Four of Cups,"Reading:  Pisces, the Five of Swords suggests releasing past conflicts. The High Priestess encourages introspection and trusting your intuition.  The Four of Cups implies you're overlooking present blessings.  Look inward and appreciate what you have.",health,POSITIVE,POSITIVE
Gemini,How can I strengthen my immune system?,The Fool,Nine of Pentacles,Page of Swords,"Gemini, The Fool encourages a fresh start with diet and exercise. The Nine of Pentacles points towards focusing on self-care and building healthy routines. The Page of Swords suggests researching and learning about immune-boosting strategies.  Embrace new healthy habits for a stronger you.",health,NEGATIVE,POSITIVE
Libra,What is the root cause of my fatigue?,Ace of Wands,Justice,King of Wands,"Reading:  Libra, your fatigue stems from an imbalance you need to address (Justice). You have the energy (Ace of Wands) but need to manage it wisely (King of Wands).  Prioritize and delegate to regain your vitality.",health,NEGATIVE,NEGATIVE
Taurus,What past wounds are still affecting my body?,Three of Cups,Page of Swords,Six of Cups,"Reading:  Taurus, the Three of Cups suggests lingering hurt from broken connections or celebrations gone wrong. The Page of Swords and Six of Cups show this impacting you by holding onto outdated ideas and past hurts.  Try to release the past and embrace the present.",health,NEGATIVE,POSITIVE
Gemini,How can I find motivation to take better care of myself?,Eight of Cups,Eight of Swords,Ace of Pentacles,"Gemini, you're feeling stuck and limited, but a new opportunity awaits.  Walking away from what's draining you creates space for positive change.  Focus on practical, tangible self-care steps.  Start small and build from there.",health,NEGATIVE,POSITIVE
Cancer,What does the universe want me to know about my health?,Four of Cups,King of Swords,Five of Swords,"Reading:  Cancer, you're overlooking available resources that can improve your well-being. Be objective and decisive about needed lifestyle changes.  Avoid unnecessary conflict; it drains your energy.  Prioritize self-care and accept support.",health,NEGATIVE,NEGATIVE
Aquarius,How can I create a deeper mind-body connection?,Justice,Page of Swords,Judgement,"Reading:  Justice reveals a need for balance and fairness in your routine.  The Page of Swords suggests exploring new intellectual pursuits, like meditation. Judgement encourages reflection on past habits to inform future choices.  Consider journaling about your physical and mental experiences to gain a deeper connection.",health,NEGATIVE,POSITIVE
Scorpio,What support do I need on my wellness journey?,Strength,Eight of Swords,Five of Swords,"Reading:  Scorpio, Strength shows you have inner power, but the Eight and Five of Swords reveal mental blocks holding you back.  You need support challenging negative thought patterns and limiting beliefs.  Focus on mental clarity and self-compassion.",health,POSITIVE,POSITIVE
Gemini,How can I find motivation to take better care of myself?,Four of Cups,Ten of Wands,Eight of Wands,"Reading:  Gemini, you're feeling bored and burdened, but change is coming quickly.  Stop focusing on what you *don't* want and embrace new possibilities.  Opportunities for self-improvement are on their way, so get ready to grab them.  Look outward for inspiration.",health,NEGATIVE,POSITIVE
Capricorn,What does the future hold for my mental health?,Eight of Cups,Six of Cups,Page of Wands,"Capricorn, you're moving on from emotional baggage (Eight of Cups) and embracing happy memories (Six of Cups). New inspiration sparks your spirit (Page of Wands). Focus on nurturing your creativity for emotional wellness.",health,NEGATIVE,POSITIVE
Aquarius,What health habits should I avoid?,Three of Swords,Five of Pentacles,Two of Cups,"Aquarius, the Three of Swords, Five of Pentacles, and Two of Cups suggest avoiding isolating yourself, neglecting your physical needs, and overindulging in unhealthy partnerships.  These habits can drain your energy and lower your wellbeing.  Focus on self-care and healthy connections.",health,NEGATIVE,NEGATIVE
Gemini,How can I be more compassionate to my body?,Ace of Swords,Two of Pentacles,The High Priestess,Reading:  The Ace of Swords suggests clearly defining your body's needs. The Two of Pentacles encourages finding balance in your physical routines. The High Priestess reminds you to listen to your inner wisdom regarding your health.  Prioritize self-care and find what truly nourishes you.,health,NEGATIVE,POSITIVE
Aquarius,What does the future hold for my mental health?,The World,Eight of Wands,Nine of Swords,"Aquarius, you're nearing a mental health breakthrough (The World), but expect some stressful transitions first (Eight of Wands).  These worries might keep you up at night (Nine of Swords).  Focus on self-care as you move through this quick shift.",health,NEGATIVE,NEGATIVE
Capricorn,How can I create a deeper mind-body connection?,Seven of Pentacles,The Lovers,The Hierophant,"Reading:  The Seven of Pentacles suggests you need patience to cultivate this connection.  The Lovers encourages you to listen to both your intuition and logic.  The Hierophant points towards seeking structured practices like yoga or meditation.  Invest time in consistent, balanced self-care.",health,NEGATIVE,POSITIVE
Capricorn,What spiritual guidance supports my healing?,Judgement,Six of Cups,Knight of Swords,"Reading:  Judgement encourages honest self-reflection about past patterns.  The Six of Cups suggests finding comfort in nostalgia and cherished memories. The Knight of Swords urges you to embrace clear, direct communication.  Focus on integrating past lessons to inform your future.",health,POSITIVE,POSITIVE
Pisces,What should I be more mindful of physically or emotionally?,Three of Swords,The Magician,Nine of Cups,"Reading:  Pisces, the Three of Swords suggests addressing lingering emotional pain. The Magician empowers you to take control and manifest healing.  The Nine of Cups indicates emotional fulfillment is within reach. Focus on self-care and actively process difficult emotions.",health,NEGATIVE,POSITIVE
Aries,What spiritual guidance supports my healing?,Queen of Wands,Four of Cups,Judgement,"Reading:  Aries, the Queen of Wands encourages you to embrace your inner fire and passion to fuel your healing. The Four of Cups suggests you're overlooking opportunities for emotional growth, so pay attention.  Judgement calls you to reflect on past patterns to move forward.  Accept the present to heal and grow.",health,POSITIVE,POSITIVE
Sagittarius,What past wounds are still affecting my body?,Queen of Swords,Seven of Pentacles,Knight of Cups,"Reading:  Sagittarius, the Queen of Swords suggests past harsh words or criticism have impacted your confidence.  The Seven of Pentacles points to feeling unappreciated or burnt out from past efforts.  The Knight of Cups reminds you to nurture your emotional needs.  Let go of old hurts to heal.",health,NEGATIVE,POSITIVE
Libra,Is this health issue part of a greater transformation?,King of Swords,King of Wands,The Lovers,"Libra, the Kings suggest you're taking charge of your situation with logic (Swords) and passion (Wands). The Lovers card hints at this health issue forcing a necessary choice related to your well-being. Focus on making balanced, informed decisions for yourself.",health,NEGATIVE,POSITIVE
Taurus,What is the root cause of my fatigue?,Four of Cups,Five of Wands,Page of Wands,"Taurus, your fatigue stems from boredom and unchecked conflict (Four of Cups, Five of Wands).  A new spark or interest could re-energize you (Page of Wands).  Look for opportunities to reignite your passions.",health,NEGATIVE,NEGATIVE
Virgo,Is now a good time to focus on fitness?,Page of Cups,Ten of Wands,Knight of Cups,"Reading:  The Page of Cups suggests you're inspired to try something new, but the Ten of Wands indicates you might be overloaded.  The Knight of Cups encourages a balanced approach.  Ease into a new routine, Virgo.",health,POSITIVE,POSITIVE
Sagittarius,Is this health issue part of a greater transformation?,Death,Five of Pentacles,The Magician,"Reading:  Sagittarius, the Death card shows a big shift, while the Five of Pentacles suggests you're feeling vulnerable. The Magician reminds you that you have the power to create positive change in your health.  Focus on building your strength.",health,NEGATIVE,POSITIVE
Taurus,What area of my life is out of alignment with my health?,Five of Pentacles,Ace of Cups,Six of Cups,"Reading:  Taurus, the Five of Pentacles suggests financial insecurity or material lack might be affecting your wellbeing.  The Ace of Cups and Six of Cups signal an emotional disconnect from the past, possibly childhood.  Consider exploring how past emotional patterns influence your current relationship with health and finances.",health,NEGATIVE,NEGATIVE
Sagittarius,What past wounds are still affecting my body?,Queen of Cups,Page of Wands,The Tower,"Reading:  Sagittarius, the Queen of Cups shows unresolved emotional baggage, likely from a past relationship.  The Page of Wands and The Tower suggest this caused a sudden upheaval, impacting your sense of self-worth.  Let go of the past to allow your body to heal.",health,NEGATIVE,POSITIVE
Virgo,Is stress affecting my body more than I realize?,The Fool,Three of Wands,The Hanged Man,"Reading:  Virgo, your cards suggest you're starting something new but feeling stuck.  Stress might be holding you back from progress, impacting your energy levels. The Hanged Man indicates a need for a new perspective. Take a break and reassess.",health,NEGATIVE,POSITIVE
Cancer,Is it time to seek medical help or a second opinion?,The Hanged Man,Eight of Cups,The Moon,"Cancer, the cards suggest pausing before making a big decision about your health.  You may feel stuck or uncertain, and some important information might be hidden. Trust your intuition and seek more clarity. Consider a second opinion to ease your mind.",health,NEGATIVE,NEGATIVE
Gemini,What area of my life is out of alignment with my health?,The Empress,Four of Swords,Six of Pentacles,"Gemini, The Empress, Four of Swords, and Six of Pentacles suggest your nurturing side is depleted, and rest is needed. You're likely giving too much, leaving little for self-care.  Prioritize relaxation and recharge your personal resources.",health,NEGATIVE,NEGATIVE
Virgo,Am I being too hard on my body?,Queen of Wands,Ace of Pentacles,The High Priestess,"Reading:  Virgo, the Queen of Wands shows you're driven, but the Ace of Pentacles suggests you need grounding.  The High Priestess encourages self-reflection on your physical needs.  Listen to your body and prioritize rest.",health,NEGATIVE,POSITIVE
Capricorn,How can I release fear about my health?,Ace of Cups,Five of Pentacles,Knight of Swords,"Reading:  The Ace of Cups suggests embracing self-care and emotional support.  The Five of Pentacles shows you may feel isolated, but resources are available.  The Knight of Swords indicates a need for clear thinking and direct action regarding your health.  Focus on practical solutions and emotional well-being.",health,NEGATIVE,POSITIVE
Pisces,What is the spiritual cause of my physical issues?,Eight of Wands,Ace of Swords,Six of Wands,"Reading:  Pisces, your quick energy (Eight of Wands) and new mental clarity (Ace of Swords) point to repressed emotions as a root cause.  Acknowledging these truths will bring the victory you seek (Six of Wands).  Focus on emotional release for physical healing.",health,NEGATIVE,POSITIVE
Capricorn,What hidden factors may be affecting my well-being?,Two of Cups,The Star,Justice,Reading:  An imbalanced partnership (Two of Cups) is impacting your sense of hope (The Star).  Objectivity is needed to see the truth of the situation (Justice).  Step back to regain your equilibrium.,health,NEGATIVE,POSITIVE
Sagittarius,Is it time to seek medical help or a second opinion?,Justice,Ace of Cups,Ten of Wands,"Reading:  Justice suggests fairness and balance, indicating a need for objective evaluation. The Ace of Cups represents new emotional beginnings, possibly through healing.  The Ten of Wands shows you're carrying a heavy burden. Seek a second opinion to lighten your load and start fresh.",health,NEGATIVE,NEGATIVE
Libra,Will my health improve soon?,Two of Wands,Two of Pentacles,Page of Swords,"Libra, the cards suggest you're juggling a lot, impacting your wellbeing.  You're managing various aspects of your health, requiring balance. New information or a shift in mindset will be key to improvement.  Focus on finding equilibrium.",health,POSITIVE,POSITIVE
Cancer,How can I create a deeper mind-body connection?,Death,King of Wands,Five of Pentacles,"Reading:  Cancer, Death suggests releasing old habits that no longer serve your body. The King of Wands encourages embracing playful movement and passion. The Five of Pentacles shows that focusing on your physical needs is key right now.  Prioritize self-care and explore new ways to move.",health,NEGATIVE,POSITIVE
Sagittarius,Is stress affecting my body more than I realize?,Judgement,Six of Pentacles,Eight of Wands,"Reading:  Judgement suggests you're aware of some imbalance. The Six of Pentacles shows you're giving energy where it's needed, but the Eight of Wands highlights a fast pace.  Slow down and prioritize self-care for better health.",health,NEGATIVE,POSITIVE
Leo,How can I create a deeper mind-body connection?,Eight of Cups,Six of Wands,Queen of Pentacles,"Reading:  Leo, the Eight of Cups suggests leaving behind what no longer serves your well-being. The Six of Wands shows success comes from nurturing yourself.  The Queen of Pentacles reminds you to ground yourself in practical, physical ways.  Prioritize self-care and celebrate small wins.",health,NEGATIVE,POSITIVE
Virgo,"How can I bring balance to my mind, body, and spirit?",Judgement,Ten of Pentacles,Three of Pentacles,"Reading:  Judgement encourages you to reflect on past choices to find peace. The Ten of Pentacles shows stability is attainable through family or community support. The Three of Pentacles highlights the value of teamwork and collaboration. Focus on forgiveness, connection, and collaboration to find balance.",health,POSITIVE,POSITIVE
Pisces,What should I be more mindful of physically or emotionally?,Queen of Cups,The Sun,Four of Swords,"Reading:  Pisces, your emotions are your strength (Queen of Cups), but don't let them overwhelm you. The Sun brings joy and clarity, so prioritize rest and mental recovery (Four of Swords).  Focus on emotional balance and self-care.",health,NEGATIVE,POSITIVE
Capricorn,How can I find motivation to take better care of myself?,Page of Swords,Eight of Cups,Seven of Cups,"Capricorn, the Page of Swords encourages you to explore new self-care ideas.  The Eight of Cups suggests leaving behind old habits that no longer serve you. The Seven of Cups reminds you to be realistic about your options.  Focus on achievable changes to build momentum.",health,NEGATIVE,POSITIVE
Libra,What health habits should I avoid?,Page of Cups,Knight of Swords,Eight of Cups,"Libra, the Page of Cups suggests avoiding emotional eating.  The Knight of Swords warns against aggressive, unsustainable diets.  The Eight of Cups points to walking away from unhealthy coping mechanisms.  Find balance and healthy substitutes instead.",health,NEGATIVE,NEGATIVE
Capricorn,Is stress affecting my body more than I realize?,Eight of Cups,The Devil,King of Swords,"Capricorn, the Eight of Cups, Devil, and King of Swords suggest you're ignoring emotional needs, leading to stress manifesting physically.  Unhealthy coping mechanisms may be exacerbating the issue, clouding your judgment.  Take a step back and assess your habits honestly.",health,NEGATIVE,NEGATIVE
Sagittarius,What hidden factors may be affecting my well-being?,Eight of Wands,Ten of Swords,Eight of Cups,"Reading:  You're rushing into things, causing burnout and a sense of being overwhelmed.  This exhaustion leads you to avoid dealing with emotional baggage. Slow down and confront what you're leaving behind.",health,NEGATIVE,NEGATIVE
Aquarius,How can I strengthen my immune system?,Nine of Wands,Three of Pentacles,Strength,"Reading:  Aquarius, the Nine of Wands suggests you're almost there, but keep pushing for healthy habits.  The Three of Pentacles points to teamwork; ask for support or find a wellness buddy. Strength reminds you to be kind to yourself throughout the process.  Small, consistent steps will lead to a healthier you.",health,NEGATIVE,POSITIVE
Capricorn,How can I create a healthier lifestyle?,Four of Cups,Ten of Pentacles,Seven of Wands,"Capricorn, you're overlooking available resources.  Family support and financial stability offer a firm foundation.  Defend this base by setting boundaries against unhealthy temptations.  Look around; you have more than you realize.",health,NEGATIVE,POSITIVE
Capricorn,What past wounds are still affecting my body?,Six of Swords,Page of Cups,Ace of Swords,"Reading:  Capricorn, the Six of Swords shows you're moving on from past hurts, but the Page of Cups hints at lingering emotional sensitivity.  The Ace of Swords suggests you're ready to address these with clear thinking. Let go of what no longer serves your physical well-being.",health,NEGATIVE,POSITIVE
Sagittarius,What support do I need on my wellness journey?,Temperance,Five of Swords,Seven of Pentacles,"Reading:  Sagittarius, Temperance suggests finding balance and moderation in your approach.  The Five of Swords shows you may need to let go of unhealthy competition. The Seven of Pentacles encourages patience and sustained effort.  Find your healthy rhythm and stick with it.",health,POSITIVE,POSITIVE
Capricorn,Will I recover fully from this illness?,Eight of Swords,Page of Swords,Ace of Swords,"Capricorn, the Eight of Swords suggests you feel trapped by this illness, but the Page and Ace of Swords show mental clarity and a fresh start are coming.  You're gaining the knowledge and power to break free. Focus on building healthy habits to support your recovery.",health,NEGATIVE,POSITIVE
Pisces,Will I overcome this chronic condition?,Eight of Swords,Seven of Wands,King of Cups,"Pisces, the Eight of Swords suggests you feel trapped by this condition, but the Seven of Wands shows you have the strength to fight it.  The King of Cups encourages emotional balance and self-care.  Focus on managing your emotions and building healthy habits.",health,NEGATIVE,POSITIVE
